port,ship,cruise_line,passengers,arrival_date,arrival_time,departure_time,all_aboard_time,source,source_url,source_checked,notes
bergen,Viking Astrea,Viking,,2028-01-14,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
bergen,Viking Astrea,Viking,,2028-01-29,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
bergen,AIDAnova,AIDA,5200,2028-01-31,10:00,20:00,,Manual CSV import,,,All aboard time TBC
bergen,AIDAperla,AIDA,,2028-02-07,11:30,20:00,,Manual CSV import,,,All aboard time TBC
bergen,Viking Astrea,Viking,,2028-02-07,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
bergen,AIDAnova,AIDA,5200,2028-02-14,10:00,20:00,,Manual CSV import,,,All aboard time TBC
bergen,AIDAperla,AIDA,,2028-02-21,11:30,20:00,,Manual CSV import,,,All aboard time TBC
bergen,Viking Astrea,Viking,,2028-03-02,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
bergen,Ambience,Ambassador Cruise Line,1400,2028-03-03,08:00,14:00,,Manual CSV import,,,All aboard time TBC
bergen,AIDAperla,AIDA,,2028-03-07,09:00,17:30,,Manual CSV import,,,All aboard time TBC
bergen,Mein Schiff 2,TUI Cruises,,2028-03-10,09:00,18:00,,Manual CSV import,,,All aboard time TBC
bergen,AIDAnova,AIDA,5200,2028-03-13,10:00,20:00,,Manual CSV import,,,All aboard time TBC
bergen,Majestic Princess,Princess Cruises,,2028-03-14,08:00,18:00,,Manual CSV import,,,All aboard time TBC
bergen,AIDAperla,AIDA,,2028-04-04,09:00,17:30,,Manual CSV import,,,All aboard time TBC
bergen,Viking Astrea,Viking,,2028-04-04,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
bergen,Amera,Phoenix Reisen,,2028-04-06,08:00,18:00,,Manual CSV import,,,All aboard time TBC
bergen,Viking Libra,Viking,,2028-04-06,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
bergen,AIDAnova,AIDA,5200,2028-04-10,10:00,20:00,,Manual CSV import,,,All aboard time TBC
bergen,AIDAnova,AIDA,5200,2028-05-01,09:00,,,Manual CSV import,,,Departure time TBC; All aboard time TBC
bergen,Europa 2,Hapag Lloyd,,2028-05-03,12:00,22:00,,Manual CSV import,,,All aboard time TBC
bergen,Zuiderdam,Holland America Line,,2028-05-04,08:00,17:00,,Manual CSV import,,,All aboard time TBC
bergen,Viking Libra,Viking,,2028-05-04,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
bergen,Ambience,Ambassador Cruise Line,1400,2028-05-05,08:00,18:00,,Manual CSV import,,,All aboard time TBC
bergen,MSC Preziosa,MSC Cruises,,2028-05-05,08:00,18:00,,Manual CSV import,,,All aboard time TBC
bergen,Europa 2,Hapag Lloyd,,2028-06-01,10:00,18:00,,Manual CSV import,,,All aboard time TBC
bergen,Viking Libra,Viking,,2028-06-01,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
bergen,Ambience,Ambassador Cruise Line,1400,2028-06-02,07:00,17:00,,Manual CSV import,,,All aboard time TBC
bergen,Rotterdam,Holland America Line,2668,2028-06-02,08:00,17:00,,Manual CSV import,,,All aboard time TBC
bergen,AIDAdiva,AIDA,2050,2028-06-06,11:00,21:00,,Manual CSV import,,,All aboard time TBC
bergen,AIDAprima,AIDA,3376,2028-07-01,09:00,17:30,,Manual CSV import,,,All aboard time TBC
bergen,AIDAsol,AIDA,,2028-07-02,09:00,17:30,,Manual CSV import,,,All aboard time TBC
bergen,Silver Nova,Silversea,,2028-07-03,08:00,18:00,,Manual CSV import,,,All aboard time TBC
bergen,AIDAperla,AIDA,,2028-07-03,09:00,17:30,,Manual CSV import,,,All aboard time TBC
bergen,AIDAdiva,AIDA,2050,2028-07-04,11:00,21:00,,Manual CSV import,,,All aboard time TBC
bergen,AIDAprima,AIDA,3376,2028-08-01,09:00,17:30,,Manual CSV import,,,All aboard time TBC
bergen,AIDAdiva,AIDA,2050,2028-08-02,07:00,17:30,,Manual CSV import,,,All aboard time TBC
bergen,Zuiderdam,Holland America Line,,2028-08-03,08:00,17:00,,Manual CSV import,,,All aboard time TBC
bergen,Viking Saturn,Viking,998,2028-08-03,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
bergen,AIDAnova,AIDA,5200,2028-09-04,09:00,17:30,,Manual CSV import,,,All aboard time TBC
bergen,MSC Splendida,MSC Cruises,,2028-09-06,08:00,18:00,,Manual CSV import,,,All aboard time TBC
bergen,Viking Lyra,Viking,,2028-09-09,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
bergen,AIDAperla,AIDA,,2028-09-11,09:00,17:30,,Manual CSV import,,,All aboard time TBC
bergen,AIDAnova,AIDA,5200,2028-10-02,09:00,17:30,,Manual CSV import,,,All aboard time TBC
bergen,MSC Preziosa,MSC Cruises,,2028-10-03,08:00,18:00,,Manual CSV import,,,All aboard time TBC
bergen,AIDAperla,AIDA,,2028-10-09,09:00,17:30,,Manual CSV import,,,All aboard time TBC
bergen,AIDAsol,AIDA,,2028-10-10,11:00,21:00,,Manual CSV import,,,All aboard time TBC
bergen,Ambience,Ambassador Cruise Line,1400,2028-11-12,13:00,20:00,,Manual CSV import,,,All aboard time TBC
bergen,Nieuw Statendam,Holland America Line,2668,2028-11-21,08:00,17:00,,Manual CSV import,,,All aboard time TBC
