port,ship,cruise_line,passengers,arrival_date,arrival_time,departure_time,all_aboard_time,source,source_url,source_checked,notes
flam,Spirit Of Adventure,Saga,999,2026-06-01,10:00,19:00,,Manual CSV import,,,All aboard time TBC
flam,AIDAnova,AIDA,5200,2026-06-02,07:00,17:30,,Manual CSV import,,,All aboard time TBC
flam,MSC Euribia,MSC,4888,2026-06-04,07:00,18:00,,Manual CSV import,,,All aboard time TBC
flam,Viking Neptune,Viking,930,2026-06-05,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
flam,Costa Favolosa,Costa Cruises,3800,2026-06-07,08:00,18:00,,Manual CSV import,,,All aboard time TBC
flam,Celebrity Apex,Celebrity Cruises,2910,2026-06-09,08:00,16:00,,Manual CSV import,,,All aboard time TBC
flam,MSC Euribia,MSC,4888,2026-06-11,07:00,18:00,,Manual CSV import,,,All aboard time TBC
flam,AIDAprima,,3376,2026-06-14,10:00,19:00,,Manual CSV import,,,All aboard time TBC
flam,AIDAnova,AIDA,5200,2026-06-16,08:00,17:30,,Manual CSV import,,,All aboard time TBC
flam,Iona,P&O,5200,2026-06-17,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
flam,MSC Euribia,MSC,4888,2026-06-18,07:00,18:00,,Manual CSV import,,,All aboard time TBC
flam,AIDAnova,AIDA,5200,2026-06-22,13:00,,,Manual CSV import,,,Departure time TBC; All aboard time TBC
flam,Celebrity Apex,Celebrity Cruises,2910,2026-06-23,07:00,16:00,,Manual CSV import,,,All aboard time TBC
flam,Iona,P&O,5200,2026-06-24,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
flam,MSC Euribia,MSC,4888,2026-06-25,07:00,18:00,,Manual CSV import,,,All aboard time TBC
flam,AIDAprima,AIDA,3376,2026-06-26,08:00,19:00,,Manual CSV import,,,All aboard time TBC
flam,AIDAnova,AIDA,5200,2026-06-30,08:00,18:30,,Manual CSV import,,,All aboard time TBC
flam,MSC Euribia,MSC,4888,2026-07-02,07:00,18:00,,Manual CSV import,,,All aboard time TBC
flam,Viking Vela,Viking,998,2026-07-05,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
flam,Viking Mira,Viking,998,2026-07-06,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
flam,Celebrity Apex,Celebrity Cruises,2910,2026-07-07,07:00,16:00,,Manual CSV import,,,All aboard time TBC
flam,AIDAprima,AIDA,3376,2026-07-08,11:00,21:00,,Manual CSV import,,,All aboard time TBC
flam,MSC Euribia,MSC,4888,2026-07-09,07:00,18:00,,Manual CSV import,,,All aboard time TBC
flam,Celebrity Apex,Celebrity Cruises,2910,2026-07-14,07:00,16:00,,Manual CSV import,,,All aboard time TBC
flam,Iona,P&O Cruises,5200,2026-07-15,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
flam,MSC Euribia,MSC,4888,2026-07-16,07:00,18:00,,Manual CSV import,,,All aboard time TBC
flam,Amadea,Phoenix,620,2026-07-18,12:00,20:00,,Manual CSV import,,,All aboard time TBC
flam,AIDAprima,AIDA,3376,2026-07-19,09:00,19:00,,Manual CSV import,,,All aboard time TBC
flam,MSC Virtuosa,MSC,6334,2026-07-22,07:00,17:00,,Manual CSV import,,,All aboard time TBC
flam,MSC Euribia,MSC,4888,2026-07-23,07:00,18:00,,Manual CSV import,,,All aboard time TBC
flam,Spirit Of Adventure,Saga,999,2026-07-24,08:00,21:00,,Manual CSV import,,,All aboard time TBC
flam,Artania,Phoenix,1260,2026-07-25,08:00,15:00,,Manual CSV import,,,All aboard time TBC
flam,AIDAprima,AIDA,3376,2026-07-26,08:00,19:00,,Manual CSV import,,,All aboard time TBC
flam,Viking Saturn,Viking,998,2026-07-27,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
flam,Spirit Of Discovery,Saga,999,2026-07-28,10:00,21:00,,Manual CSV import,,,All aboard time TBC
flam,Iona,P&O Cruises,5200,2026-07-29,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
flam,MSC Euribia,MSC,4888,2026-07-30,07:00,18:00,,Manual CSV import,,,All aboard time TBC
flam,Viking Neptune,Viking,930,2026-08-02,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
flam,AIDAprima,AIDA,3376,2026-08-05,10:00,20:00,,Manual CSV import,,,All aboard time TBC
flam,MSC Euribia,MSC,4888,2026-08-06,07:00,18:00,,Manual CSV import,,,All aboard time TBC
flam,Seven Seas Grandeur,Regent Seven Seas,746,2026-08-11,08:00,16:30,,Manual CSV import,,,All aboard time TBC
flam,AIDAprima,AIDA,3376,2026-08-12,09:00,19:00,,Manual CSV import,,,All aboard time TBC
flam,MSC Euribia,MSC,4888,2026-08-13,07:00,18:00,,Manual CSV import,,,All aboard time TBC
flam,Viking Neptune,Viking,930,2026-08-14,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
flam,Mein Schiff Relax,Tui Cruises,2894,2026-08-16,06:30,19:00,,Manual CSV import,,,All aboard time TBC
