port,ship,cruise_line,passengers,arrival_date,arrival_time,departure_time,all_aboard_time,source,source_url,source_checked,notes
hellesylt,Costa Diadema,Costa Cruises,,2026-06-01,08:30,09:30,,Manual CSV import,,,All aboard time TBC
hellesylt,MSC Euribia,MSC Cruises,4888,2026-06-02,09:00,09:45,,Manual CSV import,,,All aboard time TBC
hellesylt,Costa Favolosa,Costa Cruises,3800,2026-06-04,08:30,09:30,,Manual CSV import,,,All aboard time TBC
hellesylt,Costa Diadema,Costa Cruises,,2026-06-08,08:30,09:30,,Manual CSV import,,,All aboard time TBC
hellesylt,MSC Euribia,MSC Cruises,4888,2026-06-09,09:00,09:45,,Manual CSV import,,,All aboard time TBC
hellesylt,Iona,P&O Cruises,5200,2026-06-10,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
hellesylt,Mein Schiff 7,TUI Cruises,,2026-06-11,20:00,21:00,,Manual CSV import,,,All aboard time TBC
hellesylt,Costa Favolosa,Costa Cruises,3800,2026-06-13,08:30,09:30,,Manual CSV import,,,All aboard time TBC
hellesylt,Costa Diadema,Costa Cruises,,2026-06-15,08:30,09:30,,Manual CSV import,,,All aboard time TBC
hellesylt,MSC Euribia,MSC Cruises,4888,2026-06-16,09:00,09:45,,Manual CSV import,,,All aboard time TBC
hellesylt,MSC Virtuosa,MSC Cruises,6334,2026-06-17,07:00,19:00,,Manual CSV import,,,All aboard time TBC
hellesylt,Mein Schiff 7,TUI Cruises,,2026-06-18,20:00,21:00,,Manual CSV import,,,All aboard time TBC
hellesylt,Costa Diadema,Costa Cruises,,2026-06-22,08:30,09:30,,Manual CSV import,,,All aboard time TBC
hellesylt,MSC Euribia,MSC Cruises,4888,2026-06-23,09:00,09:45,,Manual CSV import,,,All aboard time TBC
hellesylt,Costa Diadema,Costa Cruises,,2026-06-29,08:30,09:30,,Manual CSV import,,,All aboard time TBC
hellesylt,Renaissance,CFC Croisieres,1100,2026-06-29,14:00,20:00,,Manual CSV import,,,All aboard time TBC
hellesylt,MSC Euribia,MSC Cruises,4888,2026-06-30,09:00,09:45,,Manual CSV import,,,All aboard time TBC
