port,ship,cruise_line,passengers,arrival_date,arrival_time,departure_time,all_aboard_time,source,source_url,source_checked,notes
kristiansand,AIDAprima,AIDA,3376,2027-01-03,09:00,17:00,,Manual CSV import,,,All aboard time TBC
kristiansand,Spirit Of Adventure,Saga Cruises,999,2027-01-04,08:00,17:00,,Manual CSV import,,,All aboard time TBC
kristiansand,AIDAnova,AIDA,5200,2027-01-07,08:00,18:00,,Manual CSV import,,,All aboard time TBC
kristiansand,AIDAnova,AIDA,5200,2027-01-21,08:00,18:00,,Manual CSV import,,,All aboard time TBC
kristiansand,AIDAnova,AIDA,5200,2027-02-04,08:00,18:00,,Manual CSV import,,,All aboard time TBC
kristiansand,AIDAprima,AIDA,3376,2027-02-11,09:00,17:00,,Manual CSV import,,,All aboard time TBC
kristiansand,AIDAnova,AIDA,5200,2027-02-17,08:00,18:00,,Manual CSV import,,,All aboard time TBC
kristiansand,AIDAprima,AIDA,3376,2027-02-25,09:00,17:00,,Manual CSV import,,,All aboard time TBC
kristiansand,AIDAnova,AIDA,5200,2027-03-03,08:00,18:00,,Manual CSV import,,,All aboard time TBC
kristiansand,AIDAprima,AIDA,3376,2027-03-12,09:00,17:00,,Manual CSV import,,,All aboard time TBC
kristiansand,AIDAnova,AIDA,5200,2027-03-17,08:00,18:00,,Manual CSV import,,,All aboard time TBC
kristiansand,AIDAprima,AIDA,3376,2027-03-25,09:00,17:00,,Manual CSV import,,,All aboard time TBC
kristiansand,AIDAprima,AIDA,3376,2027-04-09,09:00,18:00,,Manual CSV import,,,All aboard time TBC
kristiansand,AIDAnova,AIDA,5200,2027-04-14,08:00,18:00,,Manual CSV import,,,All aboard time TBC
kristiansand,Rotterdam,Holland America Line,2668,2027-04-14,08:00,17:00,,Manual CSV import,,,All aboard time TBC
kristiansand,Viking Vela,Viking,998,2027-04-19,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
kristiansand,AIDAbella,AIDA,,2027-05-04,08:00,18:00,,Manual CSV import,,,All aboard time TBC
kristiansand,Caribbean Princess,Princess Cruises,,2027-05-05,07:00,15:00,,Manual CSV import,,,All aboard time TBC
kristiansand,Sky Princess,Princess Cruises,,2027-05-06,08:00,18:00,,Manual CSV import,,,All aboard time TBC
kristiansand,Queen Victoria,Cunard Line,,2027-05-09,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
kristiansand,AIDAdiva,AIDA,2050,2027-05-10,07:00,17:00,,Manual CSV import,,,All aboard time TBC
kristiansand,AIDAnova,AIDA,5200,2027-05-11,09:00,19:00,,Manual CSV import,,,All aboard time TBC
kristiansand,Rotterdam,Holland America Line,2668,2027-06-02,08:00,17:00,,Manual CSV import,,,All aboard time TBC
kristiansand,Silver Dawn,Silversea,,2027-06-04,08:00,19:00,,Manual CSV import,,,All aboard time TBC
kristiansand,Seven Seas Mariner,Regent Seven Seas,,2027-06-05,07:00,17:00,,Manual CSV import,,,All aboard time TBC
kristiansand,Spirit Of Discovery,Saga Cruises,999,2027-06-06,08:00,17:00,,Manual CSV import,,,All aboard time TBC
kristiansand,AIDAdiva,AIDA,2050,2027-06-07,07:00,17:00,,Manual CSV import,,,All aboard time TBC
kristiansand,Oceania Marina,Sea London to Copenhagen (147781),1250,2027-07-03,07:00,17:00,,Manual CSV import,,,All aboard time TBC
kristiansand,AIDAdiva,AIDA,2050,2027-07-05,07:00,17:00,,Manual CSV import,,,All aboard time TBC
kristiansand,Viking Saturn,Viking,998,2027-07-05,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
kristiansand,AIDAnova,AIDA,5200,2027-07-06,09:00,19:00,,Manual CSV import,,,All aboard time TBC
kristiansand,AIDAmar,AIDA,,2027-08-01,09:00,20:00,,Manual CSV import,,,All aboard time TBC
kristiansand,Bolette,Fred Olsen Cruise Lines,,2027-08-02,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
kristiansand,AIDAnova,AIDA,5200,2027-08-03,09:00,19:00,,Manual CSV import,,,All aboard time TBC
kristiansand,Rotterdam,Holland America Line,2668,2027-08-04,08:00,17:00,,Manual CSV import,,,All aboard time TBC
