port,ship,cruise_line,passengers,arrival_date,arrival_time,departure_time,all_aboard_time,source,source_url,source_checked,notes
nordfjordeid,Mein Schiff 3,TUI Cruises,,2027-02-16,08:00,20:00,,Manual CSV import,,,All aboard time TBC
nordfjordeid,Mein Schiff 3,TUI Cruises,,2027-03-02,08:00,20:00,,Manual CSV import,,,All aboard time TBC
nordfjordeid,Mein Schiff 3,TUI Cruises,,2027-03-17,08:00,20:00,,Manual CSV import,,,All aboard time TBC
nordfjordeid,Mein Schiff 7,TUI Cruises,,2027-05-02,08:00,20:00,,Manual CSV import,,,All aboard time TBC
nordfjordeid,Zuiderdam,Holland America Line,,2027-05-05,08:00,17:00,,Manual CSV import,,,All aboard time TBC
nordfjordeid,AIDAprima,AIDA,3376,2027-05-06,08:00,18:00,,Manual CSV import,,,All aboard time TBC
nordfjordeid,Explora IV,Explora Journeys,,2027-05-07,08:00,18:00,,Manual CSV import,,,All aboard time TBC
nordfjordeid,Mein Schiff Relax,TUI Cruises,2894,2027-05-13,08:00,20:00,,Manual CSV import,,,All aboard time TBC
nordfjordeid,Mein Schiff 2,TUI Cruises,,2027-05-14,08:00,20:00,,Manual CSV import,,,All aboard time TBC
nordfjordeid,Mein Schiff Relax,TUI Cruises,2894,2027-06-02,08:00,20:00,,Manual CSV import,,,All aboard time TBC
nordfjordeid,Mein Schiff 1,TUI Cruises,,2027-06-03,08:00,20:00,,Manual CSV import,,,All aboard time TBC
nordfjordeid,AIDAperla,AIDA,,2027-06-08,09:30,20:00,,Manual CSV import,,,All aboard time TBC
nordfjordeid,MSC Meraviglia,MSC Cruises,,2027-06-09,10:00,18:00,,Manual CSV import,,,All aboard time TBC
nordfjordeid,Mein Schiff Relax,TUI Cruises,2894,2027-06-10,07:00,19:00,,Manual CSV import,,,All aboard time TBC
nordfjordeid,Artania,Phoenix Reisen,1260,2027-06-11,08:00,18:00,,Manual CSV import,,,All aboard time TBC
nordfjordeid,Costa Favolosa,Costa Cruises,3800,2027-06-12,08:00,18:00,,Manual CSV import,,,All aboard time TBC
nordfjordeid,Mein Schiff 3,TUI Cruises,,2027-06-14,08:00,20:00,,Manual CSV import,,,All aboard time TBC
nordfjordeid,Mein Schiff Relax,TUI Cruises,2894,2027-07-01,08:00,20:00,,Manual CSV import,,,All aboard time TBC
nordfjordeid,Mein Schiff 7,TUI Cruises,,2027-07-02,08:00,20:00,,Manual CSV import,,,All aboard time TBC
nordfjordeid,AIDAperla,AIDA,,2027-07-06,09:30,20:00,,Manual CSV import,,,All aboard time TBC
nordfjordeid,AIDAprima,AIDA,3376,2027-07-08,08:00,18:00,,Manual CSV import,,,All aboard time TBC
nordfjordeid,Mein Schiff 2,TUI Cruises,,2027-07-13,08:00,20:00,,Manual CSV import,,,All aboard time TBC
nordfjordeid,Explora IV,Explora Journeys,,2027-07-14,08:00,17:00,,Manual CSV import,,,All aboard time TBC
nordfjordeid,Regal Princess,Princess Cruises,,2027-07-14,09:00,20:00,,Manual CSV import,,,All aboard time TBC
nordfjordeid,Regal Princess,Princess Cruises,,2027-08-02,07:00,16:00,,Manual CSV import,,,All aboard time TBC
nordfjordeid,AIDAperla,AIDA,,2027-08-03,09:30,20:00,,Manual CSV import,,,All aboard time TBC
nordfjordeid,Zuiderdam,Holland America Line,,2027-08-04,07:00,16:00,,Manual CSV import,,,All aboard time TBC
nordfjordeid,AIDAmar,AIDA,,2027-08-05,11:00,20:00,,Manual CSV import,,,All aboard time TBC
nordfjordeid,Rotterdam,Holland America Line,2668,2027-09-01,07:00,16:00,,Manual CSV import,,,All aboard time TBC
nordfjordeid,Aurora,P&O Cruises,,2027-09-05,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
nordfjordeid,Mein Schiff Relax,TUI Cruises,2894,2027-09-08,08:00,20:00,,Manual CSV import,,,All aboard time TBC
nordfjordeid,Artania,Phoenix Reisen,1260,2027-09-11,08:00,18:00,,Manual CSV import,,,All aboard time TBC
nordfjordeid,AIDAperla,AIDA,,2027-09-14,09:30,20:00,,Manual CSV import,,,All aboard time TBC
nordfjordeid,Mein Schiff 6,TUI Cruises,,2027-09-15,08:00,20:00,,Manual CSV import,,,All aboard time TBC
nordfjordeid,Mein Schiff Relax,TUI Cruises,2894,2027-10-05,08:00,20:00,,Manual CSV import,,,All aboard time TBC
nordfjordeid,Mein Schiff Relax,TUI Cruises,2894,2027-10-15,08:00,20:00,,Manual CSV import,,,All aboard time TBC
