port,ship,cruise_line,passengers,arrival_date,arrival_time,departure_time,all_aboard_time,source,source_url,source_checked,notes
olden,Iona,P&O Cruises,5200,2028-04-04,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
olden,Queen Victoria,Cunard Line,,2028-04-05,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
olden,Iona,P&O Cruises,5200,2028-04-11,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
olden,AIDAsol,AIDA,,2028-04-12,10:00,20:00,,Manual CSV import,,,All aboard time TBC
olden,Iona,P&O Cruises,5200,2028-04-18,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
olden,Rotterdam,Holland America Line,2668,2028-04-19,10:00,19:00,,Manual CSV import,,,All aboard time TBC
olden,Britannia,P&O Cruises,,2028-04-24,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
olden,Iona,P&O Cruises,5200,2028-04-25,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
olden,Britannia,P&O Cruises,,2028-05-01,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
olden,Iona,P&O Cruises,5200,2028-05-02,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
olden,Arvia,P&O Cruises,5200,2028-05-03,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
olden,AIDAmar,AIDA,,2028-05-06,08:00,18:00,,Manual CSV import,,,All aboard time TBC
olden,Ambience,Ambassador Cruise Line,1400,2028-05-06,09:00,18:00,,Manual CSV import,,,All aboard time TBC
olden,Iona,P&O Cruises,5200,2028-05-09,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
olden,Iona,P&O Cruises,5200,2028-05-16,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
olden,Arvia,P&O Cruises,5200,2028-05-18,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
olden,Arvia,P&O Cruises,5200,2028-06-01,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
olden,Aurora,P&O Cruises,,2028-06-01,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
olden,Ambience,Ambassador Cruise Line,1400,2028-06-03,08:30,18:00,,Manual CSV import,,,All aboard time TBC
olden,Iona,P&O Cruises,5200,2028-06-06,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
olden,Queen Anne,Cunard Line,,2028-06-07,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
olden,Silver Nova,Silversea,,2028-06-10,08:00,18:00,,Manual CSV import,,,All aboard time TBC
olden,Iona,P&O Cruises,5200,2028-06-13,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
olden,Iona,P&O Cruises,5200,2028-07-04,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
olden,Queen Anne,Cunard Line,,2028-07-05,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
olden,Iona,P&O Cruises,5200,2028-07-11,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
olden,Rotterdam,Holland America Line,2668,2028-07-12,10:00,19:00,,Manual CSV import,,,All aboard time TBC
olden,Arvia,P&O Cruises,5200,2028-07-13,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
olden,Star Explorer,Windstar Cruises,,2028-07-14,10:00,16:00,,Manual CSV import,,,All aboard time TBC
olden,Iona,P&O Cruises,5200,2028-08-01,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
olden,Rotterdam,Holland America Line,2668,2028-08-02,09:00,19:00,,Manual CSV import,,,All aboard time TBC
olden,Queen Anne,Cunard Line,,2028-08-02,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
olden,Star Explorer,Windstar Cruises,,2028-08-03,10:00,16:00,,Manual CSV import,,,All aboard time TBC
olden,Queen Victoria,Cunard Line,,2028-08-07,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
olden,Iona,P&O Cruises,5200,2028-08-08,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
olden,Iona,P&O Cruises,5200,2028-09-05,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
olden,Arvia,P&O Cruises,5200,2028-09-06,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
olden,Britannia,P&O Cruises,,2028-09-11,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
olden,Iona,P&O Cruises,5200,2028-09-12,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
olden,Rotterdam,Holland America Line,2668,2028-09-13,10:00,19:00,,Manual CSV import,,,All aboard time TBC
olden,Queen Anne,Cunard Line,,2028-09-14,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
olden,AIDAperla,AIDA,,2028-10-03,10:00,19:00,,Manual CSV import,,,All aboard time TBC
