date,ship,arrival,departure,cruiseline
2026-06-01,Britannia,tbc,tbc,P&O Cruises
2026-06-02,Costa Diadema,07:00,16:30,Costa Cruises
2026-06-02,Queen Anne,tbc,tbc,Cunard Line
2026-06-03,AIDAnova,08:00,16:00,AIDA
2026-06-03,MSC Euribia,07:00,17:00,MSC Cruises
2026-06-06,Artania,19:00,23:00,Phoenix Reisen
2026-06-06,Aurora,tbc,tbc,P&O Cruises
2026-06-06,Norwegian Star,07:00,17:00,Norwegian Cruise Line
2026-06-07,SeaDream II,tbc,tbc,SeaDream Yacht Club
2026-06-08,Costa Favolosa,08:30,14:30,Costa Cruises
2026-06-09,Costa Diadema,07:00,17:00,Costa Cruises
2026-06-10,MSC Euribia,07:00,17:00,MSC Cruises
2026-06-12,Costa Favolosa,13:00,22:00,Costa Cruises
2026-06-12,Mein Schiff 7,07:00,17:00,TUI Cruises
2026-06-14,Silver Dawn,08:00,17:00,Silversea
2026-06-15,AIDAprima,10:30,20:00,AIDA
2026-06-15,Europa,09:00,17:00,Hapag Lloyd
2026-06-15,Norwegian Star,11:00,20:00,Norwegian Cruise Line
2026-06-16,Celebrity Apex,08:00,18:00,Celebrity Cruises
2026-06-16,Costa Diadema,07:00,17:00,Costa Cruises
2026-06-17,AIDAnova,09:30,19:00,AIDA
2026-06-17,MSC Euribia,07:00,17:00,MSC Cruises
2026-06-18,AIDAbella,08:00,17:00,AIDA
2026-06-18,Celebrity Eclipse,08:00,18:00,Celebrity Cruises
2026-06-19,Aurora,tbc,tbc,P&O Cruises
2026-06-20,Majestic Princess,07:00,16:00,Princess Cruises
2026-06-20,SeaDream II,tbc,tbc,SeaDream Yacht Club
2026-06-21,SeaDream II,tbc,tbc,SeaDream Yacht Club
2026-06-22,Mein Schiff 1,09:00,18:00,TUI Cruises
2026-06-23,Rotterdam,10:00,22:00,Holland America Line
2026-06-24,Mein Schiff 3,07:30,22:00,TUI Cruises
2026-06-24,MSC Euribia,07:00,17:00,MSC Cruises
2026-06-24,Silver Dawn,08:00,17:00,Silversea
2026-06-25,AIDAperla,07:00,13:00,AIDA
2026-06-27,Norwegian Star,07:00,17:00,Norwegian Cruise Line
2026-06-28,Costa Favolosa,08:00,18:00,Costa Cruises
2026-06-29,AIDAprima,07:00,16:00,AIDA
2026-06-29,SeaDream II,tbc,tbc,SeaDream Yacht Club
2026-06-30,Britannia,tbc,tbc,P&O Cruises
2026-06-30,Costa Diadema,07:00,17:00,Costa Cruises
