date,ship,arrival,departure,cruiseline
2026-08-01,SeaDream II,tbc,tbc,SeaDream Yacht Club
2026-08-05,AIDAperla,07:00,16:00,AIDA
2026-08-05,MSC Euribia,07:00,17:00,MSC Cruises
2026-08-06,SeaDream II,tbc,tbc,SeaDream Yacht Club
2026-08-07,Disney Dream,07:00,16:00,Disney Cruise Line
2026-08-07,Mein Schiff 1,09:00,18:00,TUI Cruises
2026-08-08,Seven Seas Grandeur,08:00,18:00,Regent Seven Seas
2026-08-10,AIDAprima,08:00,18:00,AIDA
2026-08-11,AIDAnova,08:00,17:00,AIDA
2026-08-11,Aurora,tbc,tbc,P&O Cruises
2026-08-12,MSC Euribia,07:00,17:00,MSC Cruises
2026-08-12,Rotterdam,10:00,22:00,Holland America Line
2026-08-15,SeaDream II,tbc,tbc,SeaDream Yacht Club
2026-08-15,Viking Saturn,tbc,tbc,Viking
2026-08-17,AIDAprima,08:00,18:00,AIDA
2026-08-18,Celebrity Apex,08:00,18:00,Celebrity Cruises
2026-08-18,Mein Schiff Relax,07:00,22:00,TUI Cruises
2026-08-19,AIDAperla,07:00,16:00,AIDA
2026-08-19,MSC Euribia,07:00,17:00,MSC Cruises
2026-08-20,Costa Favolosa,08:00,18:00,Costa Cruises
