date,ship,arrival,departure,cruiseline
2026-09-01,Celebrity Apex,10:00,19:00,Celebrity Cruises
2026-09-01,Costa Diadema,07:00,17:00,Costa Cruises
2026-09-01,Seven Seas Mariner,11:00,23:59,Regent Seven Seas
2026-09-02,AIDAperla,07:00,16:00,AIDA
2026-09-02,MSC Virtuosa,07:00,14:00,MSC Cruises
2026-09-03,Mein Schiff Relax,07:00,17:00,TUI Cruises
2026-09-07,Costa Favolosa,07:00,17:00,Costa Cruises
2026-09-07,Norwegian Star,11:00,20:00,Norwegian Cruise Line
2026-09-08,AIDAprima,10:30,20:00,AIDA
2026-09-08,Iona,tbc,tbc,P&O Cruises
2026-09-09,AIDAnova,09:00,17:00,AIDA
2026-09-09,MSC Euribia,07:00,17:00,MSC Cruises
2026-09-10,Nieuw Statendam,07:00,14:00,Holland America Line
2026-09-10,Rotterdam,07:00,16:00,Holland America Line
2026-09-11,Mein Schiff 7,07:00,17:00,TUI Cruises
2026-09-13,Seven Seas Grandeur,08:00,tbc,Regent Seven Seas
2026-09-15,Britannia,tbc,tbc,P&O Cruises
2026-09-15,Iona,tbc,tbc,P&O Cruises
2026-09-16,AIDAperla,07:00,16:00,AIDA
2026-09-16,MSC Euribia,07:00,17:00,MSC Cruises
2026-09-17,AIDAprima,10:00,20:00,AIDA
2026-09-18,MSC Preziosa,09:00,18:00,MSC Cruises
2026-09-22,AIDAnova,08:00,17:00,AIDA
2026-09-22,Iona,tbc,tbc,P&O Cruises
2026-09-23,MSC Euribia,07:00,17:00,MSC Cruises
2026-09-23,Nieuw Statendam,08:00,17:00,Holland America Line
2026-09-29,Mein Schiff 3,09:00,19:00,TUI Cruises
2026-09-29,Rotterdam,10:00,22:00,Holland America Line
2026-09-30,AIDAperla,07:00,16:00,AIDA
2026-09-30,MSC Euribia,07:00,17:00,MSC Cruises
