date,ship,arrival,departure,cruiseline
2026-07-01,Ambience,09:00,20:00,Ambassador Cruise Line
2026-07-01,Celebrity Apex,07:00,16:00,Celebrity Cruises
2026-07-02,Mein Schiff 7,08:30,18:30,TUI Cruises
2026-07-04,Costa Favolosa,11:30,20:00,Costa Cruises
2026-07-04,Viking Mira,tbc,tbc,Viking
2026-07-05,AIDAprima,11:00,21:00,AIDA
2026-07-05,Amera,07:00,13:00,Phoenix Reisen
2026-07-06,Costa Diadema,11:30,19:30,Costa Cruises
2026-07-07,Europa 2,07:00,17:00,Hapag Lloyd
2026-07-07,MSC Euribia,12:00,21:00,MSC Cruises
2026-07-08,Celebrity Apex,07:00,15:00,Celebrity Cruises
2026-07-08,Viking Vela,tbc,tbc,Viking
2026-07-10,Viking Mira,tbc,tbc,Viking
2026-07-11,Mein Schiff 1,08:00,18:00,TUI Cruises
2026-07-13,Costa Diadema,11:30,19:30,Costa Cruises
2026-07-14,MSC Euribia,12:00,21:00,MSC Cruises
2026-07-14,Renaissance,tbc,tbc,CFC Croisieres
2026-07-15,AIDAnova,08:00,18:00,AIDA
2026-07-16,AIDAprima,08:00,18:00,AIDA
2026-07-17,Mein Schiff 1,08:30,18:30,TUI Cruises
2026-07-20,Costa Diadema,11:30,19:30,Costa Cruises
2026-07-21,MSC Euribia,12:00,21:00,MSC Cruises
2026-07-22,Mein Schiff Relax,08:00,18:00,TUI Cruises
2026-07-24,Artania,07:00,13:00,Phoenix Reisen
2026-07-26,Amera,12:00,22:00,Phoenix Reisen
2026-07-26,Spirit Of Discovery,08:00,17:00,Saga Cruises
2026-07-27,Costa Diadema,11:30,19:30,Costa Cruises
2026-07-28,MSC Euribia,12:00,21:00,MSC Cruises
2026-07-29,Mein Schiff Relax,08:30,18:30,TUI Cruises
2026-07-29,Viking Saturn,tbc,tbc,Viking
2026-07-30,Mein Schiff 7,08:30,18:30,TUI Cruises
2026-07-30,Viking Neptune,tbc,tbc,Viking
