date,ship,arrival,departure,cruiseline
2026-06-01,Costa Diadema,08:30,09:30,Costa Cruises
2026-06-02,MSC Euribia,09:00,09:45,MSC Cruises
2026-06-04,Costa Favolosa,08:30,09:30,Costa Cruises
2026-06-08,Costa Diadema,08:30,09:30,Costa Cruises
2026-06-09,MSC Euribia,09:00,09:45,MSC Cruises
2026-06-10,Iona,tbc,tbc,P&O Cruises
2026-06-11,Mein Schiff 7,20:00,21:00,TUI Cruises
2026-06-13,Costa Favolosa,08:30,09:30,Costa Cruises
2026-06-15,Costa Diadema,08:30,09:30,Costa Cruises
2026-06-16,MSC Euribia,09:00,09:45,MSC Cruises
2026-06-17,MSC Virtuosa,07:00,19:00,MSC Cruises
2026-06-18,Mein Schiff 7,20:00,21:00,TUI Cruises
2026-06-22,Costa Diadema,08:30,09:30,Costa Cruises
2026-06-23,MSC Euribia,09:00,09:45,MSC Cruises
2026-06-29,Costa Diadema,08:30,09:30,Costa Cruises
2026-06-29,Renaissance,14:00,20:00,CFC Croisieres
2026-06-30,MSC Euribia,09:00,09:45,MSC Cruises
