date,ship,arrival,departure,cruiseline
2026-06-04,MSC Preziosa,16:00,tbc,MSC Cruises
2026-06-09,Viking Jupiter,tbc,tbc,Viking
2026-06-13,AIDAbella,22:00,tbc,AIDA
2026-06-13,Celebrity Apex,07:00,16:00,Celebrity Cruises
2026-06-13,Viking Neptune,tbc,tbc,Viking
2026-06-14,Mein Schiff 3,13:00,23:59,TUI Cruises
2026-06-15,AIDAluna,23:00,tbc,AIDA
2026-06-20,Seabourn Ovation,08:00,18:00,Seabourn
2026-06-21,Nieuw Statendam,12:00,20:30,Holland America Line
2026-06-21,Sky Princess,10:00,18:30,Princess Cruises
2026-06-23,Amera,19:00,tbc,Phoenix Reisen
2026-06-23,Mein Schiff 7,07:00,18:00,TUI Cruises
2026-06-24,Costa Favolosa,19:00,tbc,Costa Cruises
2026-06-25,Mein Schiff 1,14:00,tbc,TUI Cruises
