date,ship,arrival,departure,cruiseline
2026-07-03,Europa 2,18:00,24:00,Hapag Lloyd
2026-07-04,Artania,08:00,18:00,Phoenix Reisen
2026-07-06,Azamara Quest,14:00,20:00,Azamara Cruises
2026-07-07,Mein Schiff 7,07:00,18:00,TUI Cruises
2026-07-08,Mein Schiff 1,13:00,23:59,TUI Cruises
2026-07-13,Viking Vela,tbc,tbc,Viking
2026-07-14,Viking Mira,tbc,tbc,Viking
2026-07-16,Artania,10:00,19:00,Phoenix Reisen
2026-07-17,Celebrity Apex,08:00,16:00,Celebrity Cruises
2026-07-19,AIDAluna,23:00,tbc,AIDA
2026-07-19,Mein Schiff Relax,13:00,tbc,TUI Cruises
2026-07-21,MSC Preziosa,16:00,tbc,MSC Cruises
2026-07-25,AIDAbella,22:00,tbc,AIDA
2026-07-25,Viking Neptune,tbc,tbc,Viking
2026-07-28,Costa Favolosa,08:00,18:00,Costa Cruises
2026-07-30,Mein Schiff 1,13:00,23:59,TUI Cruises
2026-07-30,Viking Mira,tbc,tbc,Viking
