date,ship,arrival,departure,cruiseline
2026-06-03,Rotterdam,08:00,17:00,Holland America Line
2026-06-03,Viking Neptune,tbc,tbc,Viking
2026-06-04,Mein Schiff 7,08:00,18:00,TUI Cruises
2026-06-06,AIDAprima,07:00,15:00,AIDA
2026-06-08,AIDAdiva,07:00,17:00,AIDA
2026-06-10,AIDAnova,08:00,18:00,AIDA
2026-06-11,Sky Princess,08:00,16:00,Princess Cruises
2026-06-13,Silver Spirit,08:00,18:00,Silversea
2026-06-17,Spirit Of Adventure,08:00,17:00,Saga Cruises
2026-06-18,MSC Magnifica,12:00,20:00,MSC Cruises
2026-06-22,Oceania Marina,13:00,tbc,Oceania Cruises
2026-06-25,Viking Vela,tbc,tbc,Viking
2026-06-30,MSC Magnifica,07:00,15:00,MSC Cruises
