date,ship,arrival,departure,cruiseline
2026-07-01,Arcadia,tbc,tbc,P&O Cruises
2026-07-01,Rotterdam,08:00,17:00,Holland America Line
2026-07-02,Mein Schiff 3,08:00,18:00,TUI Cruises
2026-07-03,Viking Vela,tbc,tbc,Viking
2026-07-04,Oceania Insignia,07:00,17:00,Oceania Cruises
2026-07-06,AIDAdiva,07:00,17:00,AIDA
2026-07-07,AIDAnova,09:00,19:00,AIDA
2026-07-16,MSC Magnifica,13:00,21:00,MSC Cruises
2026-07-18,Crystal Serenity,08:00,18:00,Crystal Cruises
2026-07-21,AIDAprima,11:30,21:30,AIDA
2026-07-22,Mein Schiff 1,08:00,18:00,TUI Cruises
2026-07-23,MSC Virtuosa,14:00,20:00,MSC Cruises
2026-07-27,Nieuw Statendam,08:00,16:00,Holland America Line
2026-07-28,Silver Spirit,12:00,19:00,Silversea
2026-07-29,MSC Magnifica,10:00,19:00,MSC Cruises
2026-07-31,Azamara Journey,08:00,17:00,Azamara Cruises
