date,ship,arrival,departure,cruiseline
2026-09-01,Queen Anne,tbc,tbc,Cunard Line
2026-09-02,AIDAnova,08:00,18:00,AIDA
2026-09-03,MSC Virtuosa,12:00,19:00,MSC Cruises
2026-09-05,Seven Seas Voyager,08:00,17:00,Regent Seven Seas
2026-09-06,Seven Seas Grandeur,07:00,17:00,Regent Seven Seas
2026-09-08,AIDAbella,08:00,18:00,AIDA
2026-09-10,MSC Magnifica,12:00,20:00,MSC Cruises
2026-09-13,Costa Diadema,09:00,16:30,Costa Cruises
2026-09-14,AIDAnova,08:00,18:00,AIDA
2026-09-19,AIDAbella,10:00,20:00,AIDA
2026-09-23,Britannia,tbc,tbc,P&O Cruises
2026-09-28,AIDAluna,07:00,17:00,AIDA
2026-09-28,Nieuw Statendam,08:00,17:00,Holland America Line
2026-09-30,Britannia,tbc,tbc,P&O Cruises
