date,ship,arrival,departure,cruiseline
2026-06-05,Costa Favolosa,tbc,tbc,Costa Cruises
2026-06-08,MSC Preziosa,tbc,tbc,MSC Cruises
2026-06-10,AIDAbella,tbc,tbc,AIDA
2026-06-11,Mein Schiff 3,tbc,tbc,TUI Cruises
2026-06-14,Artania,tbc,tbc,Phoenix Reisen
2026-06-14,Costa Favolosa,tbc,tbc,Costa Cruises
2026-06-15,Celebrity Apex,07:00,15:00,Celebrity Cruises
2026-06-16,Celebrity Eclipse,07:00,17:00,Celebrity Cruises
2026-06-23,Mein Schiff 3,tbc,tbc,TUI Cruises
2026-06-24,AIDAbella,tbc,tbc,AIDA
2026-06-24,MSC Preziosa,08:00,18:00,MSC Cruises
2026-06-29,Ambience,08:00,18:00,Ambassador Cruise Line
2026-06-30,Europa 2,09:00,16:00,Hapag Lloyd
