date,ship,arrival,departure,cruiseline
2026-08-04,AIDAperla,09:30,20:00,AIDA
2026-08-10,Seven Seas Grandeur,08:00,18:00,Regent Seven Seas
2026-08-15,Mein Schiff 1,07:00,19:00,TUI Cruises
2026-08-17,Mein Schiff Relax,08:00,20:00,TUI Cruises
2026-08-18,AIDAperla,09:30,20:00,AIDA
2026-08-19,Oceania Insignia,11:00,19:00,Oceania Cruises
2026-08-21,Costa Favolosa,08:00,17:00,Costa Cruises
2026-08-25,Arcadia,tbc,tbc,P&O Cruises
2026-08-25,Celebrity Apex,10:00,21:00,Celebrity Cruises
2026-08-27,Mein Schiff Relax,08:00,20:00,TUI Cruises
2026-08-29,Costa Favolosa,09:00,19:00,Costa Cruises
