date,ship,arrival,departure,cruiseline
2026-06-03,SeaDream II,tbc,tbc,SeaDream Yacht Club
2026-06-05,MSC Preziosa,14:00,20:00,MSC Cruises
2026-06-08,Viking Jupiter,tbc,tbc,Viking
2026-06-12,Celebrity Apex,10:00,18:00,Celebrity Cruises
2026-06-12,Viking Neptune,tbc,tbc,Viking
2026-06-13,Mein Schiff 3,09:30,19:30,TUI Cruises
2026-06-15,AIDAbella,09:00,19:00,AIDA
2026-06-17,AIDAluna,09:00,18:00,AIDA
2026-06-18,Europa,13:00,19:00,Hapag Lloyd
2026-06-19,Seabourn Ovation,08:00,17:00,Seabourn
2026-06-20,Nieuw Statendam,10:00,18:00,Holland America Line
2026-06-22,Sky Princess,09:00,16:00,Princess Cruises
2026-06-24,Mein Schiff 7,09:00,19:00,TUI Cruises
2026-06-25,Amera,07:00,14:00,Phoenix Reisen
2026-06-25,SeaDream II,tbc,tbc,SeaDream Yacht Club
2026-06-26,Mein Schiff 1,22:30,tbc,TUI Cruises
2026-06-26,MSC Preziosa,09:00,22:00,MSC Cruises
2026-06-26,Viking Jupiter,tbc,tbc,Viking
2026-06-27,Queen Anne,tbc,tbc,Cunard Line
2026-06-29,AIDAbella,10:00,19:00,AIDA
2026-06-30,Spirit Of Adventure,08:00,19:00,Saga Cruises
