date,ship,arrival,departure,cruiseline
2026-07-01,AIDAluna,09:00,18:00,AIDA
2026-07-04,Europa 2,13:00,19:00,Hapag Lloyd
2026-07-05,Artania,09:00,18:00,Phoenix Reisen
2026-07-05,Azamara Quest,09:00,22:00,Azamara Cruises
2026-07-07,Mein Schiff 1,09:30,19:30,TUI Cruises
2026-07-08,Mein Schiff 7,09:00,19:00,TUI Cruises
2026-07-12,Viking Vela,tbc,tbc,Viking
2026-07-13,Viking Mira,tbc,tbc,Viking
2026-07-15,Artania,08:00,18:00,Phoenix Reisen
2026-07-16,Celebrity Apex,13:00,20:00,Celebrity Cruises
2026-07-17,SeaDream II,tbc,tbc,SeaDream Yacht Club
2026-07-18,Mein Schiff Relax,09:30,19:30,TUI Cruises
2026-07-21,AIDAluna,09:00,18:00,AIDA
2026-07-22,MSC Preziosa,14:00,20:00,MSC Cruises
2026-07-24,AIDAbella,10:00,19:00,AIDA
2026-07-26,Viking Neptune,tbc,tbc,Viking
2026-07-27,Costa Favolosa,09:00,18:00,Costa Cruises
2026-07-29,Europa,13:00,19:00,Hapag Lloyd
2026-07-29,Mein Schiff 1,09:30,19:30,TUI Cruises
2026-07-31,Viking Mira,tbc,tbc,Viking
