date,ship,arrival,departure,cruiseline
2026-06-07,MSC Preziosa,08:00,18:00,MSC Cruises
2026-06-10,Aurora,tbc,tbc,P&O Cruises
2026-06-15,Silver Dawn,08:00,17:00,Silversea
2026-06-16,AIDAprima,09:00,19:00,AIDA
2026-06-16,Seabourn Ovation,08:00,18:00,Seabourn
2026-06-17,AIDAbella,09:00,17:00,AIDA
2026-06-17,Nieuw Statendam,08:00,17:00,Holland America Line
2026-06-19,Sky Princess,08:00,16:00,Princess Cruises
2026-06-20,Amera,07:00,14:00,Phoenix Reisen
2026-06-23,Mein Schiff 1,09:00,18:00,TUI Cruises
2026-06-23,Spirit Of Adventure,08:00,19:00,Saga Cruises
2026-06-24,Renaissance,07:00,17:00,CFC Croisieres
2026-06-25,Queen Anne,tbc,tbc,Cunard Line
2026-06-25,Silver Dawn,08:00,17:00,Silversea
2026-06-27,Costa Favolosa,09:00,19:00,Costa Cruises
