date,ship,arrival,departure,cruiseline
2026-07-05,Mein Schiff 1,09:00,18:00,TUI Cruises
2026-07-07,Artania,08:00,18:00,Phoenix Reisen
2026-07-10,Azamara Quest,13:30,22:00,Azamara Cruises
2026-07-16,Mein Schiff Relax,08:00,17:00,TUI Cruises
2026-07-19,Mein Schiff 1,09:00,22:00,TUI Cruises
2026-07-19,Silver Dawn,08:00,17:00,Silversea
2026-07-23,Artania,08:00,13:00,Phoenix Reisen
2026-07-24,MSC Preziosa,08:00,18:00,MSC Cruises
2026-07-27,Mein Schiff 1,09:00,18:00,TUI Cruises
2026-07-27,Star Legend,09:00,22:00,Windstar Cruises
2026-07-29,Silver Dawn,08:00,17:00,Silversea
2026-07-30,Costa Favolosa,12:00,20:00,Costa Cruises
