port,ship,cruise_line,passengers,arrival_date,arrival_time,departure_time,all_aboard_time,source,source_url,source_checked,notes
tromso,SeaDream II,SeaDream Yacht Club,,2026-06-03,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
tromso,MSC Preziosa,MSC Cruises,,2026-06-05,14:00,20:00,,Manual CSV import,,,All aboard time TBC
tromso,Viking Jupiter,Viking,,2026-06-08,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
tromso,Celebrity Apex,Celebrity Cruises,2910,2026-06-12,10:00,18:00,,Manual CSV import,,,All aboard time TBC
tromso,Viking Neptune,Viking,930,2026-06-12,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
tromso,Mein Schiff 3,TUI Cruises,,2026-06-13,09:30,19:30,,Manual CSV import,,,All aboard time TBC
tromso,AIDAbella,AIDA,,2026-06-15,09:00,19:00,,Manual CSV import,,,All aboard time TBC
tromso,AIDAluna,AIDA,2050,2026-06-17,09:00,18:00,,Manual CSV import,,,All aboard time TBC
tromso,Europa,Hapag Lloyd,,2026-06-18,13:00,19:00,,Manual CSV import,,,All aboard time TBC
tromso,Seabourn Ovation,Seabourn,,2026-06-19,08:00,17:00,,Manual CSV import,,,All aboard time TBC
tromso,Nieuw Statendam,Holland America Line,2668,2026-06-20,10:00,18:00,,Manual CSV import,,,All aboard time TBC
tromso,Sky Princess,Princess Cruises,,2026-06-22,09:00,16:00,,Manual CSV import,,,All aboard time TBC
tromso,Mein Schiff 7,TUI Cruises,,2026-06-24,09:00,19:00,,Manual CSV import,,,All aboard time TBC
tromso,Amera,Phoenix Reisen,,2026-06-25,07:00,14:00,,Manual CSV import,,,All aboard time TBC
tromso,SeaDream II,SeaDream Yacht Club,,2026-06-25,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
tromso,MSC Preziosa,MSC Cruises,,2026-06-26,09:00,22:00,,Manual CSV import,,,All aboard time TBC
tromso,Mein Schiff 1,TUI Cruises,,2026-06-26,22:30,,,Manual CSV import,,,Departure time TBC; All aboard time TBC
tromso,Viking Jupiter,Viking,,2026-06-26,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
tromso,Queen Anne,Cunard Line,,2026-06-27,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
tromso,AIDAbella,AIDA,,2026-06-29,10:00,19:00,,Manual CSV import,,,All aboard time TBC
tromso,Spirit Of Adventure,Saga Cruises,999,2026-06-30,08:00,19:00,,Manual CSV import,,,All aboard time TBC
tromso,AIDAluna,AIDA,2050,2026-07-01,09:00,18:00,,Manual CSV import,,,All aboard time TBC
tromso,Europa 2,Hapag Lloyd,,2026-07-04,13:00,19:00,,Manual CSV import,,,All aboard time TBC
tromso,Artania,Phoenix Reisen,1260,2026-07-05,09:00,18:00,,Manual CSV import,,,All aboard time TBC
tromso,Azamara Quest,Azamara Cruises,,2026-07-05,09:00,22:00,,Manual CSV import,,,All aboard time TBC
tromso,Mein Schiff 1,TUI Cruises,,2026-07-07,09:30,19:30,,Manual CSV import,,,All aboard time TBC
tromso,Mein Schiff 7,TUI Cruises,,2026-07-08,09:00,19:00,,Manual CSV import,,,All aboard time TBC
tromso,Viking Vela,Viking,998,2026-07-12,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
tromso,Viking Mira,Viking,998,2026-07-13,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
tromso,Artania,Phoenix Reisen,1260,2026-07-15,08:00,18:00,,Manual CSV import,,,All aboard time TBC
tromso,Celebrity Apex,Celebrity Cruises,2910,2026-07-16,13:00,20:00,,Manual CSV import,,,All aboard time TBC
