port,ship,cruise_line,passengers,arrival_date,arrival_time,departure_time,all_aboard_time,source,source_url,source_checked,notes
trondheim,MSC Preziosa,MSC Cruises,,2026-06-07,08:00,18:00,,Manual CSV import,,,All aboard time TBC
trondheim,Aurora,P&O Cruises,,2026-06-10,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
trondheim,Silver Dawn,Silversea,,2026-06-15,08:00,17:00,,Manual CSV import,,,All aboard time TBC
trondheim,Seabourn Ovation,Seabourn,,2026-06-16,08:00,18:00,,Manual CSV import,,,All aboard time TBC
trondheim,AIDAprima,AIDA,3376,2026-06-16,09:00,19:00,,Manual CSV import,,,All aboard time TBC
trondheim,Nieuw Statendam,Holland America Line,2668,2026-06-17,08:00,17:00,,Manual CSV import,,,All aboard time TBC
trondheim,AIDAbella,AIDA,,2026-06-17,09:00,17:00,,Manual CSV import,,,All aboard time TBC
trondheim,Sky Princess,Princess Cruises,,2026-06-19,08:00,16:00,,Manual CSV import,,,All aboard time TBC
trondheim,Amera,Phoenix Reisen,,2026-06-20,07:00,14:00,,Manual CSV import,,,All aboard time TBC
trondheim,Spirit Of Adventure,Saga Cruises,999,2026-06-23,08:00,19:00,,Manual CSV import,,,All aboard time TBC
trondheim,Mein Schiff 1,TUI Cruises,,2026-06-23,09:00,18:00,,Manual CSV import,,,All aboard time TBC
trondheim,Renaissance,CFC Croisieres,1100,2026-06-24,07:00,17:00,,Manual CSV import,,,All aboard time TBC
trondheim,Silver Dawn,Silversea,,2026-06-25,08:00,17:00,,Manual CSV import,,,All aboard time TBC
trondheim,Queen Anne,Cunard Line,,2026-06-25,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
trondheim,Costa Favolosa,Costa Cruises,3800,2026-06-27,09:00,19:00,,Manual CSV import,,,All aboard time TBC
trondheim,Mein Schiff 1,TUI Cruises,,2026-07-05,09:00,18:00,,Manual CSV import,,,All aboard time TBC
trondheim,Artania,Phoenix Reisen,1260,2026-07-07,08:00,18:00,,Manual CSV import,,,All aboard time TBC
trondheim,Azamara Quest,Azamara Cruises,,2026-07-10,13:30,22:00,,Manual CSV import,,,All aboard time TBC
trondheim,Mein Schiff Relax,TUI Cruises,2894,2026-07-16,08:00,17:00,,Manual CSV import,,,All aboard time TBC
trondheim,Silver Dawn,Silversea,,2026-07-19,08:00,17:00,,Manual CSV import,,,All aboard time TBC
trondheim,Mein Schiff 1,TUI Cruises,,2026-07-19,09:00,22:00,,Manual CSV import,,,All aboard time TBC
trondheim,Artania,Phoenix Reisen,1260,2026-07-23,08:00,13:00,,Manual CSV import,,,All aboard time TBC
trondheim,MSC Preziosa,MSC Cruises,,2026-07-24,08:00,18:00,,Manual CSV import,,,All aboard time TBC
trondheim,Mein Schiff 1,TUI Cruises,,2026-07-27,09:00,18:00,,Manual CSV import,,,All aboard time TBC
trondheim,Star Legend,Windstar Cruises,,2026-07-27,09:00,22:00,,Manual CSV import,,,All aboard time TBC
trondheim,Silver Dawn,Silversea,,2026-07-29,08:00,17:00,,Manual CSV import,,,All aboard time TBC
trondheim,Costa Favolosa,Costa Cruises,3800,2026-07-30,12:00,20:00,,Manual CSV import,,,All aboard time TBC
trondheim,Seven Seas Grandeur,Regent Seven Seas,746,2026-08-06,10:00,19:00,,Manual CSV import,,,All aboard time TBC
trondheim,AIDAprima,AIDA,3376,2026-08-07,10:00,20:00,,Manual CSV import,,,All aboard time TBC
trondheim,Mein Schiff 1,TUI Cruises,,2026-08-08,09:00,18:00,,Manual CSV import,,,All aboard time TBC
trondheim,Aurora,P&O Cruises,,2026-08-15,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
trondheim,AIDAprima,AIDA,3376,2026-08-19,07:00,17:00,,Manual CSV import,,,All aboard time TBC
trondheim,Silver Dawn,Silversea,,2026-08-22,08:00,17:00,,Manual CSV import,,,All aboard time TBC
trondheim,Seven Seas Mariner,Regent Seven Seas,,2026-08-26,07:00,16:00,,Manual CSV import,,,All aboard time TBC
trondheim,AIDAbella,AIDA,,2026-08-26,09:00,17:00,,Manual CSV import,,,All aboard time TBC
trondheim,AIDAprima,AIDA,3376,2026-08-29,10:00,20:00,,Manual CSV import,,,All aboard time TBC
trondheim,Silver Dawn,Silversea,,2026-09-01,08:00,17:00,,Manual CSV import,,,All aboard time TBC
trondheim,Rotterdam,Holland America Line,2668,2026-09-02,08:00,16:00,,Manual CSV import,,,All aboard time TBC
trondheim,Celebrity Apex,Celebrity Cruises,2910,2026-09-07,09:30,20:00,,Manual CSV import,,,All aboard time TBC
trondheim,AIDAprima,AIDA,3376,2026-09-10,08:00,16:00,,Manual CSV import,,,All aboard time TBC
trondheim,MSC Preziosa,MSC Cruises,,2026-09-17,08:00,17:00,,Manual CSV import,,,All aboard time TBC
trondheim,AIDAprima,AIDA,3376,2026-09-19,10:00,20:00,,Manual CSV import,,,All aboard time TBC
trondheim,Nieuw Statendam,Holland America Line,2668,2026-09-24,08:00,17:00,,Manual CSV import,,,All aboard time TBC
trondheim,AIDAsol,AIDA,,2026-09-28,10:00,18:00,,Manual CSV import,,,All aboard time TBC
